state,city,first_year,last_year,good_case
OR,LA GRANDE,1913,,
OR,MILTON,1938,,
OR,MILWAUKEE,1945,,
OR,NYSSA,1945,,
OR,OREGON CITY,1924,,
OR,PENDELTON,1947,,
OR,PORTLAND,,,***** currently commission
OR,ROSEBURG,1947,,
OR,SALEM,1946?,,***** currently council-manager
OR,SPRINGFIELD,1947,,
OR,SILVERTON,1941,,
OR,SWEET HOME,1943,,
PA,ALLENTOWN,,,***** currently mayor-council
PA,ALTOONA,1918,1921,***** currently council-manager
PA,ASHLAND,1930,,
PA,ASPINWALL,1925,,
PA,AVALON,1928,,
PA,BETHLEHEM,1918,,adopted in 1918?
PA,BLAIRSVILLE,1922,,
PA,BOYERTOWN,1938,,
PA,CARLISLE,1921,,
PA,CHELTENHAM,1937,,
PA,CHESTER,,,***** currently commission
PA,CONNELLSVILLE,,,***** currently commission
PA,COALDALE,,,
PA,EDGEWOOD,1931,,
PA,EDGEWORTH,1914,,
PA,ELLWOOD CITY,1928,,
PA,EPHRATA,1938,,
PA,FOX CHAPEL,1937,,
PA,FRANKLIN,,,***** currently council-manager					xxxxx adopted ???
PA,GROVE CITY,1930,,
PA,HAMBURG,1946,,
PA,HANOVER,1928,,
PA,HARRISBURG,,,***** currently mayor-council
PA,HAZLETON,,,***** currently mayor-council
PA,INDIANA,,,***** currently council-manager (borough council)
PA,LANSDOWNE,1922,,
PA,LEBANON,,,***** currently mayor-council
PA,LEHIGHTON,1943,,
PA,LEWISTOWN,1943,,
PA,LOCK HAVEN,,,***** currently council-manager					xxxx adopted in 1971, 1972?
PA,LOWER MERION,1942,,
PA,MECHANICSBURG,1947,,
PA,MILTON,1925,,
PA,MONONGAHELA,,,***** currently commission
PA,MOUNT LEBANON,1928,,
PA,NEW BRIGHTON,1942,,
PA,NEW CASTLE,,,***** currently mayor-council
PA,NORTHAMPTON,1932,,
PA,OAKMONT,1948?,,
PA,OIL CITY,1972,,***** currently council-manager
PA,OSBORNE,1921,,
PA,PHILADELPHIA,.,.,***** currently mayor-council
PA,PHILIPSBURG,,,
PA,PHOENIXVILLE,1930,,
PA,PITTSBURGH,,,***** currently mayor-council
PA,PITTSTON,,,***** currently commission
PA,POTTSTOWN,1945,,***** currently council-manager (borough council)
PA,READING,,,***** currently mayor-council
PA,SCOTTDALE,1932,,
PA,SCRANTON,,,***** currently mayor-council
PA,SEWICKLEY,1918,,
PA,SEWICKLEY HEIGHTS,1936,,
PA,SPRINGDALE,1942,,
PA,STATE COLLEGE,1945,,
PA,STROUDSBURG,,,***** currently council-manager (borough council)
PA,TOWANDA,1918,,
PA,UNIONTOWN,,,***** currently commission
PA,WAYNESORO,1922,,
PA,WEST READING,1926,,
PA,WEST VIEW,1942,,
PA,WILKES-BARRE,,,***** currently mayor-council
PA,WILLIAMSPORT,,,***** currently mayor-council
PA,YORK,,,***** currently mayor-council
RI,BARRINGTON,1961,,currently council-manager
RI,BRISTOL,,,currently council-manager
RI,BURRILLVILE,1990,,currently council-manager
RI,CENTRAL FALLS,,,currently mayor-council
RI,CHARLESTOWN,1982,,currently council-manager
RI,COVENTRY,1973,,currently council-manager
RI,CRANSTON,,,currently mayor-council
RI,CUMBERLAND,,,currently mayor-council
RI,EAST GREENWICH,1973,,currently council-manager
RI,EAST PROVIDENCE,,,currently council-manager
RI,EXETER,,,currently town meeting
RI,FOSTER,,,currently town meeting
RI,GLOCESTER,,,currently town meeting
RI,HOPKINTON,,,currently town meeting
RI,JAMESTOWN,1974,,currently council-manager
RI,JOHNSTON,,,currently mayor-council
RI,LINCOLN,,,currently council-manager
RI,LITTLE COMPTON,,,currently town meeting
RI,MIDDLETOWN,1970,,currently council-manager
RI,NARRAGANSETT,1967,,currently council-manager
RI,NEW SHOREHAM,1990,,currently council-manager (Block Island)
RI,NEWPORT,1953,,***** currently council-manager
RI,NORTH KINGSTOWN,1955,,currently council-manager
RI,NORTH PROVIDENCE,,,currently mayor-council
RI,NORTH SMITHFIELD,,,currently council-manager
RI,PAWTUCKET,,,currently mayor-council
RI,PORTSMOUTH,1973,,currently council-manager
RI,PROVIDENCE,,,currently mayor-council
RI,RICHMOND,,,currently town meeting
RI,SCITUATE,,,currently town meeting
RI,SMITHFIELD,1995,,currently council-manager
RI,SOUTH KINGSTOWN,1970,,currently council-manager
RI,TIVERTON,1992,,currently town meeting
RI,WARREN,1995,,currently council-manager
RI,WESTERLY,1969,,currently council-manager
RI,WEST GREENWICH,,,currently town meeting
RI,WEST WARWICK,1994,,currently council-manager
SC,AIKEN,,,*****
SC,BEAUFORT,1915,,
SC,CHESTER,1945,,
SC,FLORENCE,1921,,***** currently council-manager
SC,GAFFNEY,,,***** currently council-manager (administrator)
SC,GREENVILLE,1950,,
SC,GREENWOOD,1939,,***** currently council-manager
SC,LANCASTER,1946,,
SC,ROCK HILL,1915,,*****
SC,SPARTANBURG,1947,,
SC,SUMTER,1912,,***** currently council-manager
SD,ABERDEEN,1946,,
SD,CLARK,1912,,
SD,HURON,,,***** currently ???
SD,MADISON,1947,,
SD,MITCHELL,,,***** currently ???
SD,RAPID CITY,1921,,
TN,ALCOA,1919,,
TN,ATHENS,1948?,,
TN,COLUMBIA,1940,,
TN,ELIZABETHTON,1921,,
TN,GATLINBURG,1945,,
TN,JOHNSON CITY,1939,,
TN,KINGSPORT,1917,,***** currently ???
TN,KNOXVILLE,1923,,
TN,MCMINN COUNTY,1947,,
TN,MURFREESBORO,1920,,
TN,PARIS,1947,,
TX,ABILENE,1947,,***** currently council-manager
TX,AMARILLO,1913,,***** currently council-manager
TX,ATHENS,1966,,adopted in 1960 and abandoned in 1963
TX,AUSTIN,1926,,
TX,BAYTOWN,,,***** currently council-manager
TX,BEAUMONT,1919,,
TX,BELTON,1931,,
TX,BIG SPRING,1926,,
TX,BONHAM,1948?,,*****
TX,BORGER,1930,,
TX,BROWNSVILLE,1916,,***** currently council-manager
TX,BROWNWOOD,1916,,***** currently ??? adopted in 1916?
TX,BRYAN,1917,,***** currently council-manager
TX,BURKBURNETT,1923,,
TX,BURNET,1945,,
TX,CANYON,,,*****
TX,CARRIZO SPRINGS,1946,,
TX,CARTHAGE,1948?,,
TX,CLARKSVILLE,1946,,
TX,COLLEGE STATION,1944,,
TX,CORPUS CHRISTI,1945,,***** currently council-manager
TX,CORSICANA,,,***** currently council-manager							xxxxx adopted c-m in 1960?
TX,CRYSTAL CITY,1943,,
TX,DALLAS,1931,,
TX,DEL RIO,1967,,
TX,DENTON,1959,,***** currently council-manager (adopted in 1914 and abandoned in 1919)
TX,EASTLAND,1919,,
TX,EDINBURG,1946,,
TX,ELECTRA,1975,1989,
TX,EL PASO,2004,,***** currently ???
TX,FORT WORTH,1925,,
TX,FREEPORT,,,***** currently council-manager							xxxxx adopted c-m in 1960 ?
TX,GAINESVILLE,1927,,abandoned in 1947 and readopted in 1949
TX,GALVESTON,1960,,***** currently council-manager (previously city commission?)
TX,GEORGETOWN,1944,,
TX,GIDDINGS,1942,,
TX,GOOSE CREEK,1928,,
TX,GRANBURY,,,*****
TX,GRAND PRAIRIE,,,***** currently council-manager						xxxxx adopted c-m in 1954?
TX,HARLINGEN,1947,,***** currently council-manager (adopted in 1947?)
TX,HEARNE,,,*****
TX,HILLSBORO,1962,,
TX,HOUSTON,1942,1947,
TX,HUBBARD,1943,,
TX,IRVING,,,***** currently council-manager							xxxxx adopted c-m pre 1958?
TX,JACKSONVILLE,1931,,
TX,KERRVILLE,1927,,
TX,KILLEEN,1949,,
TX,LAMESA,1945,,
TX,LIBERTY,,,*****
TX,LIVINSTON,1941,,
TX,LLANO,,,*****
TX,LONGVIEW,1923,,
TX,LUBBOCK,1917,,***** currently council-manager
TX,LUFKIN,1919,,
TX,MARSHALL,1927,,
TX,MCALLEN,1945,,
TX,MEXIA,1920,,*****
TX,MIDLAND,1948?,,
TX,NACOGDOCHES,1932,,
TX,NAVASOTA,1923,,
TX,ODESSA,1969,,***** currently council-manager (adopted in 1946?)
TX,PAMPA,1927,,***** currently council-manager (commission)
TX,PANHANDLE,1923,,
TX,PARIS,1948,,***** currently council-manager
TX,PELLY,1946,,
TX,PITTSBURG,1946,,
TX,PLANO,,,***** currently council-manager							xxxxx adopted c-m pre 1960?
TX,PORT ARTHUR,1932,,
TX,RANGER,1919,1921,
TX,RAYMONDVILLE,1945,,
TX,ROSENBERG,1985,,adopted in 1956 and abandoned in 1960
TX,SAN ANGELO,1916,,
TX,SAN ANTONIO,1952,.,***** currently council-manager with directly elected mayor
TX,SEGUIN,,,
TX,SHERMAN,1915,,
TX,STAMFORD,1918,,
TX,SULPHUR SPRINGS,1948?,,
TX,SWEETWATER,1928,,
TX,TAYLOR,1918,,***** 
TX,TEAGUE,1915,,adopted in 1915?
TX,TEMPLE,1922,,
TX,TERRELL,1919,,
TX,TYLER,1915,,
TX,WACO,1924,,***** currently council-manager (abandoned in 1946 and readopted in 1948)
TX,WAXAHACHIE,1947,,
TX,WESLACO,1929,,
TX,WEST COLUMBIA,1942,,
TX,WICHITA FALLS,1928,,
TX,YOAKUM,1915,,
UT,BRIGHAM CITY,,,
UT,OGDEN,1951,,***** currently mayor-council
UT,PROVO,1956,,***** currently mayor-council
UT,SALT LAKE CITY,,,***** currently mayor-council
UT,SOUTH SALT LAKE,1946,,
UT,TOOELE,1925,,
UT,VERNAL,1948?,,
VT,BARRET,1939,,
VT,BELLOW FALLS,1927,,
VT,BENNINGTON,,,
VT,BETHEL,1948?,,
VT,BRANDON,1947,,
VT,BRATTLEBORO,1942,,
VT,CASTLETON,1939,,
VT,CAVENDISH,1946,,
VT,CHESTER,1945,,
VT,HARDWICK,1937,,
VT,HARTFORD,1940,,
VT,LUDLOW,1926,,
VT,MANCHESTER,1941,,
VT,MIDDLEBURY,1937,,
VT,MONTPELIER,1947,,
VT,NORTH TROY,1935,,
VT,NORTHFIELD,1941,,
VT,RANDOLPH,1940,,
VT,ROCKINGHAM,1927,,
VT,SAINT JOHNSBURY,1923,,
VT,SPRINGFIELD,1920,,
VT,TROY,1935,,
VT,WINDSOR,1931,,
VA,ABINGTON,1940,,
VA,ALBERMARLE COUNTY,1933,,
VA,ALEXANDRIA,1922,,***** currently council-manager
VA,ALTAVISTA,1936,,
VA,APPALACHIA,1931,,
VA,ARLINGTON CITY?,1932,,
VA,BEDFORD,1920,,
VA,BIG STONE GAP,1936,,
VA,BLACKSTONE,1914,,
VA,BLUEFIELD,1930,,
VA,BRISTOL,1919,,
VA,CHARLOTTESVILLE,1913,,
VA,CLIFTON FORGE,1942,,
VA,COLONIAL BEACH,1947,,
VA,COVINGTON,1925,,
VA,CREWE,1926,,
VA,CUPEPER,1930,,
VA,DANVILLE,1950,,***** currently council-manager
VA,FARMVILLE,1915,,
VA,FRANKLIN,1922,,
VA,FREDERICKSBURG,1912,,
VA,FRONT ROYAL,1930,,
VA,GALAX,1922,,
VA,HAMPTON,1920,,
VA,HARRISONBURG,1940,,
VA,HENRICO COUNTY,1934,,
VA,HOPEWELL,1923,,
VA,LEXINGTON,1938,,
VA,LYNCHBURG,1920,,
VA,MANASSAS,1927,,
VA,NEWPORT NEWS,1920,
VA,NORFOLK,1918,,
VA,NORTON,1936,,
VA,ORANGE,1935,,
VA,PEARISBURG,1948?,,
VA,PETERSBURG,1920,,***** currently council-manager
VA,PORTSMOUTH,1917,,
VA,RADFORD,1920,,
VA,RICHMOND,1948,2004,***** currently ???
VA,ROANOKE,1918,,
VA,SALEM,1922,
VA,SOUTH BOSTON,1936,,
VA,SOUTH NORFOLK,1948?,,
VA,STAUNTON,1908,,
VA,SUFFOLK,1919,,
VA,TAPPAHANNOCK,1938,,
VA,VINTON,1936,,
VA,WARRENTON,1920,,
VA,WARWICK COUNTY,1945,,
VA,WAYNESBORO,1938,,
VA,WILLIAMSBURG,1932,,
VA,WINCHESTER,1916,,
VA,WYTHEVILLE,1927,,
WA,ABERDEEN,,,
WA,CENTRALIA,,,***** currently council-manager				xxxxx adopted c-m post 1977?
WA,LEAVENWORTH,,,
WA,PASCO,,,***** currently council-manager				xxxxx adopted c-m in 1952, 1953, 1954?
WA,PORT ANGELES,,,***** currently ???
WA,SEATTLE,,,
WA,SUNNYSIDE,1948?,,
WA,TACOMA,,,***** currently council-manager				xxxxx adopted c-m post-1918
WV,BECKLEY,,,***** currently ???
WV,BLUEFIELD,1921,,
WV,CHARLESTON,,,***** currently mayor-council (city manager appointed by mayor and approved by council)
WV,CLARKSBURG,1921,,
WV,GRAFTON,1947,,
WV,MORGANTOWN,1921,,
WV,SAINT MARYS,1921,,
WV,WEIRTON,,,***** currently ???
WV,WHEELING,1917,,currently council-manager (adopted in 1935?)
WI,APPLETON,,,***** currently mayor-council
WI,ASHLAND,1948?,,
WI,BELOIT,1929,,
WI,EAU CLAIRE,1949,,***** currently council-manager
WI,FOND DU LAC,1958,,***** currently council-manager
WI,FORT ATKINSON,1931,,
WI,FOX POINT,1946,,
WI,GREENDALE,1939,,
WI,JANESVILLE,1923,,***** currently council-manager
WI,KENOSHA,1922,,
WI,LA CROSSE,,,***** currently weak mayor-strong council
WI,MADISON,1947,,***** currently mayor-council (when changed?)
WI,MANITOWOC,,,***** currently mayor-council (weak mayor-strong council?)
WI,OSHKOSH,1956,,
WI,RHINELANDER,1926,,***** currently ???
WI,RIVER HILLS,1948?,,
WI,SHOREWOOD,1926,,
WI,SUPERIOR,1941,,
WI,TWO RIVERS,1925,,
WI,WAUKESHA,,,***** currently ???
WI,WHITEFISH BAY,1938,,
WY,LARAMIE,1942,,
